,batch_size,learning_rate,lora_rank,loss,time_end,time_sampled
1,31,0.004978346497095187,27,,1721744067.890329,1721743357.1924875
2,11,0.0014563786818724577,11,3.6722657680511475,1721745856.5912735,1721743382.3090074
3,10,0.0011804443544944226,14,3.691481590270996,1721744166.853592,1721743440.6024833
4,14,1.1061318057992508e-05,31,3.5222084522247314,1721745650.9304883,1721744068.369355
5,22,0.0022648907604855945,6,,1721745215.9876063,1721744167.3597522
6,10,1.425100151956595e-05,1,3.5200018882751465,1721746800.901466,1721745216.0072784
7,30,3.7431952088712016e-05,15,3.5234155654907227,1721746396.3294215,1721745650.9604788
8,32,3.1287581101995814e-05,9,3.5944087505340576,1721746480.0743275,1721745858.2072663
9,30,3.738021711565062e-05,2,3.51851224899292,1721747140.1042974,1721746396.372978
10,26,0.0005450519332800502,11,3.4722914695739746,1721747287.073725,1721746480.103506
11,32,0.0003580573812257684,15,3.463601589202881,1721747617.4955802,1721746800.945018
12,21,0.00012846609125797986,17,3.4574344158172607,1721748075.8523088,1721747140.1408496
13,16,0.00258037019440221,24,3.6553151607513428,1721748816.041003,1721747287.385468
14,9,0.0009076924299829954,32,3.6211400032043457,1721748349.0125587,1721747620.360749
15,11,0.0009210578060615172,14,3.600311040878296,1721748778.6406236,1721748079.1721299
16,28,5.4271936927765964e-05,16,3.486870527267456,1721749282.0096755,1721748349.1561844
17,31,0.000780281151102183,3,3.4796955585479736,1721749502.3753047,1721748779.0021002
18,18,0.0010548330420923789,1,3.5125105381011963,1721749720.2545233,1721748816.131558
19,20,0.00021067421106137532,30,3.4465596675872803,1721750341.8834913,1721749282.2764268
20,18,2.2993430807485722e-05,14,3.5010697841644287,1721750854.0125952,1721749502.9801593
21,9,0.00018265978855918114,1,3.4701225757598877,1721751259.1315415,1721749720.443885
22,11,0.0006068934885155922,10,3.5374596118927,1721751065.710574,1721750342.744505
23,27,0.00014448826515703654,20,3.45839786529541,1721751656.0585852,1721750855.094997
24,22,1.4471044312216712e-05,20,3.584937572479248,1721752327.6289766,1721751065.8865576
25,14,6.521151480630167e-05,18,3.4723172187805176,1721752403.4958165,1721751259.53616
26,9,0.0004052998081076746,17,3.483306407928467,1721753223.712143,1721751656.7272782
27,10,0.0007390311383757764,11,3.5662975311279297,1721753041.8050704,1721752328.02131
28,27,0.0007039628785759316,8,3.4771945476531982,1721753169.493105,1721752403.592759
29,11,0.0001743523602844994,10,3.475811719894409,1721754218.8857083,1721753042.4315238
30,27,0.00011006676859210413,13,3.459433078765869,1721753941.8479118,1721753169.62336
